* "Probe","TimeIndex","axonprobe ie0 (1)",18/04/1996 18:43:27,Index,"[00000C3E7097]","[000086060DA0]","1","18","19800","0","","",""," ","dPkts","dOctets","dErrors","dTimeIndex"
* "",-730/01/0002 00:00:0"axonprobe ie0 (1)","axonprobe ie0 (1)",18/04/1996 18:43:27,1,0,0,448,,,, 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00000C3E7097],[00000C3E7097],1,1351,164822,0,360,43920,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00000C3E7097],[000086060DA0],1,18,19800,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00000C3E7097],[0020AF760D95],1,51,5903,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00000C3E7097],[0020AFE73AEB],1,5361,7587945,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00000C3E7097],[00A0240231A2],1,14,896,0,3,192,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00000C3E7097],[00A024024486],1,396,229487,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00000C3E7097],[00A0240244FA],1,11038,15672112,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00000C3E7097],[00A02416DF57],1,10,802,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AF0C0E07],cacilj,1,112,13247,0,5,1285,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AF0C0E07],cacilj,1,286,18844,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AF760D95],[00000C3E7097],1,62,4056,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AF760D95],[0020AFD03F1E],1,67,10492,0,3,192,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AF760D95],[00A024068CCD],1,445,189014,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AF760D95],[0800200B33CB],1,3,242,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AF760D95],cacilj,1,107,10597,0,24,2451,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AF760D95],cacilj,1,550,36364,0,158,10412,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFA22233],[0020AF0C0E07],1,14,1536,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFA22233],[0020AFD03F1E],1,303,35602,0,73,8402,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFA22233],[00A02425D924],1,15,2975,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFA22233],[00A0244525B3],1,11,1230,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFA22233],cacilj,1,43,6226,0,9,1348,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFA67527],cacilj,1,20,4757,0,5,1235,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFA67527],cacilj,1,20,1314,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],[00000F00ABE8],1,8818,832139,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],[0020AFD03F1E],1,63,16570,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],[00A02402378A],1,19,2355,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],[00A024068CCD],1,1109,115524,0,160,15138,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],[00A0244524DD],1,19,2373,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],[0800200B33CB],1,5,425,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],[0800200C25BD],1,18397,2725750,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],[08002010C8FB],1,70,58120,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],[080036895A02],1,2778,1857380,0,82,10208,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],cacilj,1,104,10380,0,22,2388,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFCEF199],cacilj,1,336,22092,0,88,5786,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[000086060DA0],1,7,712,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[0020AF0C0E07],1,175,19424,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[0020AF760D95],1,65,8098,0,3,192,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[0020AFA22233],1,260,55078,0,62,13898,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[0020AFCEF199],1,66,16153,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[0020AFE6147D],1,10,2572,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[0020AFE73AEB],1,4,256,0,1,64,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[0020AFE73B24],1,163,16580,0,42,4272,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[0020AFE9FD60],1,1633,1745398,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[00608CCB1456],1,53405,79538242,1,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[00A0240231A2],1,10,1033,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[00A02402378A],1,333,41572,0,82,10208,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFD03F1E],[00A024023A82],1,43,5937,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFE73B24],[0020AFD03F1E],1,141,16000,0,36,4104,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFE73B24],[00A0240244FA],1,11,1242,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0020AFE73B24],blue,1,119,11516,0,31,2959,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A02435B506],[00A024024486],1,15,1256,0,2,128,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A02435B506],buttonfly,1,22,5368,0,6,1374,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A02445241D],[0020AFD03F1E],1,8,856,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A02445241D],[00A024024486],1,15,1256,0,2,128,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A02445241D],[00A024068CCD],1,10,836,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A02445241D],[00A02425D924],1,20,1672,0,4,256,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A02445241D],[00A0244525B3],1,14,1092,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A02445241D],[080036895A02],1,2,128,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A02445241D],buttonfly,1,29,5736,0,7,1418,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524CC],[0020AFD03F1E],1,108,15222,0,33,4548,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524CC],buttonfly,1,124,11413,0,33,3027,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524CC],cacilj,1,525,34575,0,140,9220,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524DD],[0020AFCEF199],1,18,2096,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524DD],[0020AFD03F1E],1,33,4560,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524DD],[00A0240244FA],1,11,1444,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524DD],buttonfly,1,24,5298,0,5,1310,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524FB],[0020AFD03F1E],1,84,72711,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524FB],[0800200B33CB],1,2,164,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[00A0244524FB],buttonfly,1,82,9160,0,25,2570,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[08002010C8FB],[00A02402378A],1,1609,185164,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[08002010C8FB],[00A02411F6FD],1,3,192,0,1,64,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[08002010C8FB],[00A0244525B3],1,47,19691,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[08002010C8FB],[00C0D400090F],1,1,102,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[08002010C8FB],[02608C2F5328],1,5156,884532,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[08002010C8FB],[080009066937],1,1413,183656,0,2,128,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],[0020AFCEF199],1,3062,330652,0,166,15522,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],[0020AFD03F1E],1,664,64964,0,166,15522,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],[00A024068CCD],1,64,6138,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],[00A02411F6FD],1,16,1870,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],[00A02445241D],1,2,128,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],[0800200B33CB],1,1,85,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],[08002010C8FB],1,2179,139883,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],solar,1,32,5681,0,5,1235,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0800690275CE],[01005E000102],1,1483,430851,0,374,108765,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,[00A024452575],1,68,6840,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,[080009066937],1,904,141716,0,240,37600,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,[0800200B33CB],1,5610,567455,0,1256,127647,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,[080036452302],1,185,15911,0,49,4198,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,solar,1,22,1408,0,5,320,0,3595 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[00000C3E7097],[00000C3E7097],1,1711,208742,0,360,43920,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[00000C3E7097],[000086060DA0],1,20,19928,0,2,128,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[00000C3E7097],[0020AF760D95],1,51,5903,0,0,0,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[000086060DA0],cacilj,1,28,1852,0,0,0,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[0000E4040932],[0800200B33CB],1,884,98492,0,133,14738,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[0000E4040932],solar,1,5,320,0,1,64,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[0020AF0C0E07],[0020AFA22233],1,15,1783,0,0,0,0,3597 

